,Price,Change %,Volx1M
386,0.002508,-5.5,215.27
387,0.002539,1.25,203.74
388,0.00245,-3.51,202.35
389,0.002468,0.74,169.24
390,0.002321,-5.99,197.7
391,0.002414,4.03,154.47
392,0.002543,5.35,197.76
393,0.002536,-0.29,106.36
394,0.002735,7.85,139.8
395,0.002655,-2.93,172.63
396,0.002688,1.27,128.93
397,0.002614,-2.76,103.31
398,0.002636,0.85,141.92
399,0.002655,0.7,139.87
400,0.002649,-0.21,132.82
401,0.002635,-0.53,175.64
402,0.002458,-6.72,187.34
403,0.002462,0.15,185.49
404,0.002286,-7.15,153.63
405,0.002328,1.84,140.4
406,0.002344,0.68,153.34
407,0.002423,3.38,204.08
408,0.002904,19.85,432.64
409,0.003254,12.06,462.02
410,0.003694,13.52,1030.0
411,0.003833,3.77,554.75
412,0.003409,-11.06,360.37
413,0.003555,4.28,232.51
414,0.003487,-1.93,260.16
415,0.003416,-2.01,267.63
416,0.003626,6.15,321.61
417,0.003564,-1.72,318.39
418,0.003374,-5.32,253.16
419,0.003444,2.07,279.72
420,0.003421,-0.67,199.19
421,0.003305,-3.41,225.26
422,0.003259,-1.37,257.93
423,0.002979,-8.6,331.8
424,0.003056,2.59,296.52
425,0.00297,-2.83,238.53
426,0.002928,-1.39,264.56
427,0.002829,-3.37,301.93
428,0.002876,1.65,316.39
429,0.002783,-3.25,286.42
430,0.002651,-4.72,358.29
431,0.002421,-8.7,339.38
432,0.002579,6.55,346.36
433,0.002417,-6.27,294.3
434,0.002381,-1.49,267.58
435,0.002407,1.06,348.7
436,0.002331,-3.14,322.85
437,0.002232,-4.24,399.41
438,0.002281,2.17,326.93
439,0.002268,-0.56,365.58
440,0.002498,10.13,356.31
441,0.002397,-4.03,409.49
442,0.002457,2.5,300.51
443,0.002344,-4.61,318.86
444,0.002408,2.76,270.33
445,0.002332,-3.18,346.11
446,0.002376,1.91,301.93
447,0.00243,2.23,293.01
448,0.00242,-0.38,284.88
449,0.002427,0.26,297.73
450,0.002477,2.06,364.95
451,0.002643,6.72,400.31
452,0.00263,-0.49,480.45
453,0.003323,26.34,3670.0
454,0.004823,45.14,6260.0
455,0.006458,33.89,11280.0
456,0.005067,-21.53,10220.0
457,0.005324,5.06,4730.0
458,0.005284,-0.76,2280.0
459,0.004953,-6.26,3030.0
460,0.005038,1.72,2000.0
461,0.005306,5.32,2610.0
462,0.005717,7.74,2880.0
